strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,ruderalis_percentage_clean,filial_type_clean,breeding_status_clean,strain_name_normalized,aka_names_clean,similar_spelling_clean,is_autoflower_clean,autoflower_seed_to_harvest_days_min_clean,autoflower_seed_to_harvest_days_max_clean,flowering_time_min_days_clean,flowering_time_max_days_clean,height_indoor_min_cm_clean,height_indoor_max_cm_clean,height_outdoor_min_cm_clean,height_outdoor_max_cm_clean,yield_indoor_min_g_m2_clean,yield_indoor_max_g_m2_clean,yield_outdoor_min_g_plant_clean,yield_outdoor_max_g_plant_clean,dominant_type_clean,seed_type_clean,flowering_type_clean,difficulty_clean
63381aba-bcdc-4db9-a301-52de237499d2,barneys_farm,Mimosa EVO,,Barney's Farm,,,,,,,"Buy Mimosa EVO Strain Feminized Cannabis Seeds, BARNEY'S FARM USA. Pioneering Marijuana Seeds Genetics Since 1986.",,Indica,,Fruit Punch & Citrus Tangerine Aroma,,,,,100-120cm,180-220cm,,60.0,False,html/b96dd42e675ec9c9.html,40.0,2026-01-13T14:44:13.442459,,https://www.barneysfarm.com/us/mimosa-evo-weed-strain-510,,,,30.0,30.0,30.0,,,700-800 gr/Ã£ÂÂ¡,2000 gr/plant,,,,mimosa evo,,mimosaevo,False,,,,,100.0,120.0,180.0,220.0,700.0,800.0,2000.0,2000.0,Indica,,,
5e0092aa-0669-4240-be4e-e507d69217bb,barneys_farm,Gorilla Z,,Barney's Farm,,,,,,,"Buy Gorilla Z Strain Feminized Cannabis Seeds, BARNEY'S FARM USA. Pioneering Marijuana Seeds Genetics Since 1986.",,Indica,,Fruity,,,,,100-140cm,140-180cm,,60.0,False,html/1bae67bac41eb32e.html,40.0,2026-01-13T14:44:13.610929,,https://www.barneysfarm.com/us/gorilla-zkittlez-weed-strain-459,,,,32.0,32.0,32.0,,,700-800 gr/Ã£ÂÂ¡,2000-2500 gr/plant,,,,gorilla z,,gorillaz,False,,,,,100.0,140.0,140.0,180.0,700.0,800.0,2000.0,2500.0,Indica,,,
fbedb138-bfd3-4381-9126-2a3a0b8ac5b0,barneys_farm,Zillions,,Barney's Farm,,,,,,,"Buy Zillions Strain Feminized Cannabis Seeds, Barney's Farm USA. Pioneering Marijuana Seeds Genetics Since 1986.",,Indica,,"Citrus Peel, Berries",,,,,100-120cm,150-180cm,,55.0,True,html/40f65f85dfec61b0.html,45.0,2026-01-13T14:44:13.816390,,https://www.barneysfarm.com/us/zillions-weed-strain-789,,,,32.0,32.0,32.0,,,650 gr/Ã£ÂÂ¡,2500 gr/plant,,,,zillions,,zillions,False,,,,,100.0,120.0,150.0,180.0,650.0,650.0,2500.0,2500.0,Indica,,,
19031a34-1a43-4dec-80ad-63fa5f3e0d7a,barneys_farm,LSD,,Barney's Farm,,,,,,,"Buy LSD Strain Feminized Cannabis Seeds, BARNEY'S FARM USA. Pioneering Marijuana Seeds Genetics Since 1986.",,Indica,,"Musky, Earthy Flower, Herbal, Skunky, Pungent",,,,,90-110cm,120-150cm,,70.0,True,html/d67d764dc940e940.html,30.0,2026-01-13T14:44:13.985453,,https://www.barneysfarm.com/us/lsd-weed-strain-10,,,,30.0,30.0,30.0,,,550-650 gr/Ã£ÂÂ¡,800 gr/plant,,,,lsd,,lsd,False,,,,,90.0,110.0,120.0,150.0,550.0,650.0,800.0,800.0,Indica,,,
05eab13b-10a0-4e60-b717-f537308fff3d,barneys_farm,Laughing Buddha,,Barney's Farm,,,,,,,"Buy Laughing Buddha Strain Feminized Cannabis Seeds, BARNEY'S FARM USA. Pioneering Marijuana Seeds Genetics Since 1986.",,Sativa,,"Fresh, Sweet, Exotic Fruits",,,,,100-110cm,120-150cm,,20.0,False,html/f4314671e30c4804.html,80.0,2026-01-13T14:44:14.187656,,https://www.barneysfarm.com/us/laughing-buddha-weed-strain-8,,,,24.0,24.0,24.0,,,500-600 gr/Ã£ÂÂ¡,800 gr/plant,,,,laughing buddha,,laughingbuddha,False,,,,,100.0,110.0,120.0,150.0,500.0,600.0,800.0,800.0,Sativa,,,
b27772dd-dcc5-4737-9670-e48fa5d8ea4f,compound,Compound Genetics X Method Seven,,,,,,,,,"We are very excited to announce that we've teamed up with Method Seven to bring you a limited edition Compound version of their beloved evolution glasses. The Evolution is a flat frame style colored in a sea glass blue with a matte finish. The iconic Tiger Moon Compound logo is painted on the temples. Equipped with the exclusive FX2 lens engineered for LEDs, the Compound Evolution is also incredible outside. Whether youÃ¢ÂÂre a grower or simply looking for a pair of unique sunglasses to elevate your style, the Compound Genetics Evolution FX2 is genuinely one of a kind.Limited edition of only 300!",,,,,,,,Potency: Flower Time: Vegetative Time: Aroma:,,,,,,html/bdf08980eaafba02.html,,2026-01-14,,https://seeds.compound-genetics.com/products/compound-genetics-x-method-seven,,,,,,,,,,,,,,compound genetics x method seven,,compoundgeneticsxmethodseven,False,,,,,,,,,,,,,,,,
db3e8210-bd5b-4124-a3f4-5fada3aad004,crop_king,White Wedding Strain,,Crop King Seeds,,0.2,0.1,0.1-0.2%,,,"White Wedding is a balanced hybrid with 25% THC, offering growers an easy-to-grow strain that delivers a potent, smooth, and well-rounded high.",,,,,,,,to elevate your cultivation experience,Medium (5 to 8 FT),Medium (5 to 8 FT),,,True,html/265a33cd96ed9f5c.html,,2026-01-13T11:14:53.378374,,https://www.cropkingseeds.com/feminized-seeds/white-wedding-strain-feminized-marijuana-seeds/,,,24.0,25.0,28.0,20.0,20-28%,,14 oz/m2,18 Ã¢ÂÂ 21 oz/plant,,,Hybrid,white wedding,,whiteweddingstrain,False,,,,,5.0,8.0,5.0,8.0,14.0,14.0,18.0,18.0,,,,
c1d3b9cc-bcf7-4839-8a15-c6e7c8af9dc4,crop_king,Ice Cream Sundae Strain,,Crop King Seeds,1.0,0.2,0.1,0.1-0.2%,,,"Ice Cream Sundae is a deliciously unique strain that offers a rewarding cannabis experience, perfect for elevating your growth and enjoyment.",,,,,,,,Sundae Driver and Gelato 33,Medium (5 to 8 FT),Medium (5 to 8 FT),,,False,html/22849d10d0d1d429.html,,2026-01-13T11:14:53.692892,,https://www.cropkingseeds.com/feminized-seeds/ice-cream-sundae-strain-feminized-marijuana-seeds/,,,22.5,,25.0,20.0,20-25%,,425g/m2,550g/plant,,,,ice cream sundae,,icecreamsundaestrain,False,,,,,5.0,8.0,5.0,8.0,425.0,425.0,550.0,550.0,,,,
96f5ec5c-4030-4cbd-9edb-70bd824276bd,crop_king,Watermelon Sorbet Strain,,Crop King Seeds,,1.2,0.48,0.48-1.2%,,,"Watermelon Sorbet is a balanced hybrid with 18% THC, offering a refreshing, euphoric high thatÃ¢ÂÂs smooth and energizing without heavy sedation.",,,,,,,,Watermelon Zkittlez and Sherbert,Small (0-4 FT),Medium (5 to 8 FT),,,False,html/b6f7a5d4ff50075f.html,,2026-01-13T11:14:53.970014,,https://www.cropkingseeds.com/feminized-seeds/watermelon-sorbet-strain-feminized-marijuana-seeds/,,,18.0,18.0,19.0,17.0,17-19%,,400-500 g/m2,16 oz/plant,,,,watermelon sorbet,,watermelonsorbetstrain,False,,,,,0.0,4.0,5.0,8.0,400.0,500.0,16.0,16.0,,,,
e6c01a36-ab62-4b71-8871-e2a7f0352e7a,crop_king,Grape Stomper Strain,,Crop King Seeds,,0.6,0.43,0.43-0.6%,,,"Grape Stomper is a slightly Sativa-dominant hybrid with 16-22% THC and up to 1% CBD, offering growers a rewarding and balanced cultivation experience.",,,,,,,,"make it a breeze to grow, especially for those with a bit of experience under their belt, and its flowering period of 9-",Medium (5 to 8 FT),Medium (5 to 8 FT),,,True,html/dda8bcbc975a1896.html,,2026-01-13T11:14:54.297802,,https://www.cropkingseeds.com/feminized-seeds/grape-stomper-strain-feminized-marijuana-seeds/,,,23.0,,29.0,17.0,17-29%,,400-600g/mÃÂ²,550-900g/plant,,,Hybrid,grape stomper,,grapestomperstrain,False,,,,,5.0,8.0,5.0,8.0,400.0,600.0,550.0,900.0,,,,
d17251af-a858-486f-9d42-cff5a8e799b1,crop_king,Blockhead,,Crop King Seeds,,0.2,0.1,0.1-0.2%,,,"Blockhead Feminized is an indica-dominant strain with 17-23% THC, blending Sweet Tooth and a mystery variety for a smooth, balanced experience.",,,,"Blueberry, Lemon, Pine, Sweet",,,,Sweet Tooth x Unknown Strain,Small (0-4 FT),Medium (5 to 8 FT),,,True,html/cea8cba560aa2754.html,,2026-01-13T11:14:54.711186,,https://www.cropkingseeds.com/feminized-seeds/blockhead-feminized-seeds/,,,24.0,,28.0,20.0,20-28%,,Heavy yield (approximately 500 grams/mÃ¢ÂÂ´),High yield (approximately 600 grams/plant),,,Hybrid,blockhead,,blockhead,False,,,,,0.0,4.0,5.0,8.0,500.0,500.0,600.0,600.0,,,,
dbf76673-0cf9-4829-954f-f51e3576a690,dutch_passion,Auto Xtreme Haze,,,,,,,,,,,,,,,,,,,,,,True,html/0b722e5d36a35ac4.html,,2026-01-12T12:55:37.308276,,https://dutch-passion.us/cannabis-seeds/auto-xtreme-haze,,,,0.3,0.3,0.3,,,,,,,,xtreme haze,,autoxtremehaze,True,,,,,,,,,,,,,,,,
34153c4b-4a90-44e5-afe7-62137cee0c36,dutch_passion,White Widow,,Bundles,,,,,,,,,,,,,,,treme Auto,,,,,True,html/1dea0dc25f465f1b.html,,2026-01-12T12:55:38.251947,,https://multiversebeans.com/product/dutch-passion-white-widow-auto-fem/,,,,,,,,,,,,,,white widow,,whitewidow,True,,,,,,,,,,,,,,,,
9083db49-7b73-4ca1-9189-de51e9b2eb95,dutch_passion,White Widow,,crossing Brazilian and Indian strains,,,,,,,,,,,earthy,,,F1,,,,,,True,html/c74e770d2585468a.html,,2026-01-12T12:55:38.809599,,https://dutch-passion.us/cannabis-seeds/white-widow,,,,0.3,0.3,0.3,,,,,,F1,,white widow,,whitewidow,False,,,,,,,,,,,,,,,,
cb521a6b-ed7f-4617-9eba-c018a8f5e57f,dutch_passion,Auto Ultimate,,carefully selecting and crossing The Ultimate with,,,,,,,,,,,earthy,,,,,,,,,True,html/9e2f2f7abe4371e6.html,,2026-01-12T12:55:39.451184,,https://dutch-passion.us/cannabis-seeds/auto-ultimate,,5.0,,0.3,0.3,0.3,,,,,,,,ultimate,,autoultimate,True,,,,,,,,,,,,,,,,
bd766f55-04ee-4ac2-95e4-a5512fb97a39,dutch_passion,Auto Think Different,,,,,,,,,,,,,"earthy, pine",,,,,,,,,True,html/788c790e8e73aff2.html,,2026-01-12T12:55:40.296439,,https://dutch-passion.us/cannabis-seeds/auto-think-different,,,,0.3,0.3,0.3,,,,,,,,think different,,autothinkdifferent,True,,,,,,,,,,,,,,,,
5f2d59fc-1f7e-4229-b30e-b3383e1cbe0e,exotic,Alpha One,,,,,,,,,,,,,,,,,The One x Grape Jubilee,,,,,,html/00f5219dad8ce7ad.html,,2026-01-14,,https://exoticgenetix.com/product/alpha-one-3231313/,,,,,,,,,,,,,Hybrid,alpha one,,alphaone,False,,,,,,,,,,,,,,,,
c4f5b8ad-f7ac-4f36-bf5d-5b14e5e93c25,exotic,Big Ripper,,,,,,,,,,,,,,,,,Grease Monkey x Scotty 2 Hotty,,,,,,html/02568041ecf63ce9.html,,2026-01-14,,https://exoticgenetix.com/product/big-ripper-2/,,,,,,,,,,,,,Hybrid,big ripper,,bigripper,False,,,,,,,,,,,,,,,,
7f022a02-fb52-4f4a-bfd6-f19287c7835d,exotic,Sweat Helmet,,,,,,,,,,,,,,,,,,,,,,,html/03f3cf20fc6b51d4.html,,2026-01-14,,https://exoticgenetix.com/product/sweat-helmet/,,,,,,,,,,,,,,sweat helmet,,sweathelmet,False,,,,,,,,,,,,,,,,
f4439ae3-1740-4f7f-aed4-9a7b145a858f,exotic,Big League Sherb,,,,,,,,,,,,,,,,,,,,,,,html/03ff5237075c94f6.html,,2026-01-14,,https://exoticgenetix.com/product/big-league-sherb-regs/,,,,,,,,,,,,,,big league sherb,,bigleaguesherb,False,,,,,,,,,,,,,,,,
52211850-ce3d-4715-a596-7d0109427bd1,exotic,Breakfast of Champions,,,,,,,,,,,,,,,,,Strawberry Gary x Cereal Milk,,,,,,html/042fb9ec8a880e06.html,,2026-01-14,,https://exoticgenetix.com/product/breakfast-of-champions/,,,,,,,,,,,,,Hybrid,breakfast of champions,,breakfastofchampions,False,,,,,,,,,,,,,,,,
8520bd5c-8615-40fa-9bf2-9b6c78debaea,gorilla,Delicious Seeds Black Russian Feminized,,Delicious Seeds,,,,,,,"About Delicious Seeds Black Russian FeminizedDeliciousSeedsBlack RussianFeminizedTakesMMJto the Highest Level Ã¢ÂÂ¦And then leaps even higher! A premium mix of frost-coveredWhite Russianand the eliteBlack Domina,Black RussianFeminizedSeedsput the M in MMJ. These high-performancecannabisseedsare a full 80%Indicawith an astronomical 20%THCfor deep physical relaxation that'll leave you feeling as loose & limp as an old banana peal - in a good way, of course!Black RussianFeminizedis an Extremely Physical 80%IndicaGreat for Both MMJ or Recreation20%THC, Moisture Resistant, Strong & StableConnoisseur Quality with Amazing Flavour & FragranceSweetSeedsBlack RussianFeminizedsmells great & tastes even better! Depending on the phenotype, the flavours & aromas range from lush tropical fruit to sweet, sugar-coated candy. Yum! And, you won't have to wait forever to find out exactly what's what; On average,Black Russianonly needs 50 to 55 days after the flip to get the job done. These ladies do not f*ck around!This description ofBlack RussianFeminizedis based on the features displayed by the mother plant as described by the original breeder,DeliciousSeeds.GorillaSeedssellscannabisseedsfor legal collection purposes only & prohibits any illegal usage including germination & cultivation.Buy Your Black RussianFeminizedSeedsfrom GorillaSeedsNow - No One Beats Our Prices!",,,,,,,,Black Domina / White Russian,,,,,,html/0008d7ab2b3149bb.html,,2026-01-14,,https://www.gorilla-cannabis-seeds.co.uk/deliciousseeds/feminized/black-russian-feminized.html,,,,20.0,,,,,,,,,,delicious black russian,,deliciousseedsblackrussianfeminized,False,,,,,,,,,,,,,,,,
8080ff8f-2f4f-4b76-9e18-1f25a2231902,gorilla,Purple Punch x Lemon Drizzle Feminized Seeds,,Barneys Farm Seeds,,,,,,,"About Purple Punch x Lemon Drizzle Feminized SeedsPurple Punch x Lemon Drizzle Feminized Seedsare a testament to creative cannabis breeding, blending two flavorful and potent strains into one incredible hybrid. This balanced strain offers the best of both worlds, starting with an uplifting burst of euphoria that melts into a deeply relaxing body high.The flavor profile is just as impressive as its effects. Sweet, juicy berry notes fromPurple Punchmeet the tangy citrus zest ofLemon Drizzle, creating a smooth, flavorful smoke thatÃ¢ÂÂs as satisfying as a fruity dessert.Whether youÃ¢ÂÂre looking to spark creativity or unwind after a long day, Purple Punch x Lemon Drizzle has you covered. Its balanced effects make it a versatile choice for both daytime and evening use.Why Choose Purple Punch x Lemon Drizzle Feminized Seeds?Vibrant Flavors:A blend of sweet berry and zesty citrus with earthy undertones.Balanced Effects:Uplifting and mood-boosting, followed by deep relaxation.High Potency:Withup to 24% THC, it delivers a powerful, long-lasting experience.",,,relaxing,"Blueberry Pie, Sweet, Sour, Citrus, Earthy, Grapes",,,,Purple Punch Strain x Lemon Drizzle Strain,,,,,,html/001912066400ff46.html,,2026-01-14,,https://www.gorilla-cannabis-seeds.co.uk/barneysfarm/feminized/purple-punch-x-lemon-drizzle.html,,,,24.0,26.0,24.0,,,,,,,Hybrid,purple punch x lemon drizzle,,purplepunchxlemondrizzlefeminizedseeds,False,,,,,,,,,,,,,,,,
4d3ca22a-2b04-44bb-aa89-458d41463f4e,gorilla,BCN Critical XXL Auto,,Seed Stockers,,,,,,,"About BCN Critical XXL AutoWith 22%THCor More, The Happy, Calm Highs Have Staying Power!With large top colas and twin sets of XLbudsat every lower node, BCN Critical XXL Auto is the highest yieldingCritical Plus Autowe've ever seen, bar none! This is most definitely a fluff-free and no-disappointment zone. To get there in just 75 days from seed, Seed Stockers didn't sacrifice anything but the wait. We expected nothing but the highest quality from these award-winning Kritical Bilbo X Critical Mass cross and they over delivered!BCN Critical XXL Auto Flowering Time = 75 Days fromSeed!Strong Highs - Hours of Happy, Chill EnjoymentFresh Citrus Aroma Paired with a Candied-Lemon TastePriced to Move with Fast, International Shipping!Vigorous and rapidly developing from the start, the only thing BCN Critical XXL Autoseedscould only to be faster is to start throwing pistils inside their pack! Theybudup quickly with an abundance of frost-laden flowers that are heavy for their size. Give this citrus-scented beauty the support she needs to prevent breakage from the weight. Order thisSeedStocker's best seller today in packs of 3 to 25cannabisseeds!EvenSeedStockers Was Shocked By BCN Critical XXL Auto'sYields!NB:BCN Critical XXL Auto is extremely fast, but her big sister, photoperiodBCN Critical XXL, is a bit stronger. Why not pick up a pack of each? These collectible souvenirs are for holding not germinating.",,,happy,Citrus,,,,Kritical Bilbo X Critical Mass X Auto,,,,,,html/0067ba6fbf47c977.html,,2026-01-14,,https://www.gorilla-cannabis-seeds.co.uk/seedstockers/autoflowering/bcn-critical-xxl-auto.html,,,,,,,,,,,,,Hybrid,bcn critical xxl,,bcncriticalxxlauto,True,,,,,,,,,,,,,,,,
c09783b8-8d64-40fc-b2cc-2f21b8fbf04a,gorilla,Haze Automatic,,DinaFem Seeds,100.0,,,,,,"About Haze AutomaticHaze AutomaticFeminizedis not a cure for butt stink or a runny nose, but her highCBDlevels are sure to keep you comfortable with your hurt feelings and such.Speaking of stink,Haze Autosmells great and offers crisp, fresh flavour the family will enjoy. HereÃ¢ÂÂs some other things The Gorilla forgot to tell you about:Great during or while skipping college classesLowryder #1,JYD Haze,DinaFem #1hybridSuper high-yieldautoflowering seedsSheÃ¢ÂÂs thecannabisseedwith the speed you need, and youÃ¢ÂÂd better heed this breed. Her secret to success is her heritage. This tough hybrid honey is super hard working outdoors and in, with a compact size that makes her perfect for any tight space, including pants pockets.The Gorilla is too hazed out to remind you about his high standards, fast shipping, secure purchasing, and discreet packaging, so be sure to check back tomorrow and heÃ¢ÂÂll remind you then. Until then, drink plenty of fluids and continue browsing his awesome selection ofmarijuanaseeds.Buy DinaFemSeedsHaze Automatic and Get Hazy Now!NB:The Gorilla is never too hazed out to know the law. Our products, while 100% genuine, are for amusement only. Do not, under any circumstances, attempt your ownHaze Automaticgrow.And, if you like thisHaze AutomaticStrain, check outBig Buddha Super AutomaticSativa- you'll love it!",,,happy,Strong,,,,Roadrunner (Lowryder #1 X DinaFem #1) X JYD Haze,,,,,,html/008d04208503f080.html,,2026-01-14,,https://www.gorilla-cannabis-seeds.co.uk/dinafem/autoflowering/haze-automatic.html,,,,,,,,,,,,,Hybrid,haze,,hazeautomatic,True,,,,,,,,,,,,,,,,
