source_url,seed_bank,scraped_at,strain_name,breeder_name,description,yield,flowering_time,strain_type,feelings,seed_type,grow_difficulty,plant_height,thc_content,cbd_content
https://neptuneseedbank.com/product/nasha-genetics-zprinklez/,Neptune Seed Bank,2026-01-08T03:17:20.034149,Nasha Genetics - Zprinklez,Nasha Genetics,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.
All Seeds are considered HEMP Seeds by law. Every seed tested contained less than 0.03% THC",,,,,,,,,
https://neptuneseedbank.com/product/tiki-madman-zpice/,Neptune Seed Bank,2026-01-08T03:17:20.218040,Tiki Madman - Zpice,Tiki Madman,Product description,Medium - High,60 - 65 days,,,,,,,
https://neptuneseedbank.com/product/nasha-genetics-zoreoz/,Neptune Seed Bank,2026-01-08T03:17:20.430246,Nasha Genetics - Zoreoz,Nasha Genetics,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.
All Seeds are considered HEMP Seeds by law. Every seed tested contained less than 0.03% THC",,,,,,,,,
https://neptuneseedbank.com/product/tsunami-seed-co-zorak/,Neptune Seed Bank,2026-01-08T03:17:20.684429,Tsunami Seed Co. - Zorak,Tsunami Seed Co.,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.
All Seeds are considered HEMP Seeds by law. Every seed tested contained less than 0.03% THC",,,,,,,,,
https://neptuneseedbank.com/product/seed-canary-zoomiez/,Neptune Seed Bank,2026-01-08T03:17:20.843076,Seed Canary - Zoomiez,Seed Canary,"Product description
Zoomiez, bred by Seed Canary, has an impressive lineage of Zoo Runtz  and Apples & Bananas. It’s a  strain. Perfect for any occasion.",,,,,,,,,
https://neptuneseedbank.com/product/zombie-storm-strain/,Neptune Seed Bank,2026-01-08T03:17:21.035320,White Clouds Genetics - Zombie Storm (Feminized),White Clouds Genetics,"Product description
Zombie Storm Strain Feminized Seeds by White Clouds Genetics

What Are Zombie Storm Seeds?
Zombie Storm strain seeds by White Clouds Genetics combine Zombified and Shitstorm S1 to form a heavily sedating, visually striking feminized hybrid. Known for its grimy gas, deep coloration, and powerful couch-lock, this strain was designed for fans of old-school funk with modern frost. Each 6-pack contains all-female seeds, making them a consistent and reliable choice for serious growers.

Structure and Appearance
Zombie Storm produces dense, chunky flowers wrapped in thick trichomes. Expect deep greens, purples, and occasional jet-black hues, especially in colder climates. The plant structure stays short and bushy, with tight spacing and strong lateral branches, making it a solid fit for indoor tents or sea-of-green setups.

Flavor and Aroma Profile
This strain reeks in the best way—expect rancid gas, burnt rubber, and earthy skunk up front, followed by hints of spice and fermented fruit. Zombified provides the dirty funk, while Shitstorm S1 adds a fuel-heavy, chemical-rich backbone. It’s the kind of aroma that fills the room before you even open the jar.

Effects and Medicinal Benefits
Zombie Storm is deeply relaxing, delivering a heavy body stone and mental sedation. Ideal for nighttime use, it can help manage insomnia, chronic stress, muscle tension, and appetite loss. It’s not for the faint of heart—expect strong, long-lasting effects that can flatten even seasoned smokers.

Growing Zombie Storm at Home
This feminized hybrid has a flowering time of 8-9 weeks and thrives in low to moderate-height setups. It responds well to defoliation and minor training techniques, and its sturdy frame can support heavy colas with ease. Zombie Storm is also a strong choice for solventless hash making thanks to its resin output.

Why Choose Zombie Storm Seeds?
Zombie Storm seeds are ideal for growers seeking loud funk, purple frost, and serious body effects. With unique genetics from Zombified and Shitstorm S1, this cultivar offers a memorable terp profile and a true end-of-day experience. Grab your 6-pack of feminized seeds now at Neptune Seed Bank.

About the Breeder - White Clouds Genetics
White Clouds Genetics is a craft seed company known for producing feminized hybrids with bold color, heavy resin, and potent terpene profiles. With hits like Ghost Car, Winter Storm, and Phosphorescent, their catalog appeals to both flavor chasers and extract artists. Browse the full White Clouds Genetics collection today.

Similar Strains to Explore


Winter Storm by White Clouds Genetics


Gassy indica hybrids


Heavy sedative feminized seeds


Purple frost strains



Stay Connected with Neptune Seed Bank
Thanks for checking out Zombie Storm feminized seeds! For breeder drops, giveaways, and exclusive content, follow us:


Instagram


X (Twitter)


TikTok


YouTube


Join our Discord or sign up for our newsletter!



⚠️ Legal Notice:Seeds are sold as adult novelty items only. Germination or cultivation may be illegal in your region. Buyers must follow local laws. Neptune Seed Bank assumes no liability.",Medium - High,60 - 65 days,,,,,,,
https://neptuneseedbank.com/product/underworld-genetix-zoinkz-f/,Neptune Seed Bank,2026-01-08T03:17:21.202169,Underworld Genetix - Zoinkz (Feminized),Underworld Genetix,Product description,,,,,,,,,
https://neptuneseedbank.com/product/zoey-strain/,Neptune Seed Bank,2026-01-08T03:17:21.403207,Mainely Organics - Zoey,Mainely Organics,"Product description
Zoey Strain Feminized Seeds by Mainely Organics
Zoey strain by Mainely Organics is a beautifully balanced hybrid that combines the classic Maine-bred power of Zero Gravity with the sweet, syrupy dessert terps of Blueberry Sugar. Sold in 6-packs of feminized seeds, this cultivar is bred for flavor chasers, resin collectors, and connoisseurs seeking frost, fruit, and function in every harvest.

 Lineage
Zero Gravity x Blueberry SugarType: Feminized SeedsPack Size: 6 SeedsDominant Type: Indica-Leaning Hybrid

 Aroma, Flavor & Terpenes
Zoey strain delivers a sweet, creamy, fruit-forward terpene profile with notes of ripe blueberry jam, vanilla, floral gas, and earthy spice. Zero Gravity adds structure and potency, while Blueberry Sugar enhances the sweetness and aroma—creating a smooth, candy-like flavor with a subtle gassy backbone.

⚡ Effects & Experience
Expect a euphoric and clear-headed onset that eases into a relaxing, body-melting calm. Zoey is perfect for:


 Afternoon or evening sessions


 Creative work or mellow social settings


️ Stress relief and relaxation without couchlock



 Growing Info


Height: Medium with dense internodal spacing


Flowering Time: 8-9 weeks


Appearance: Frosty buds with blue, lavender, and deep green hues


Resin Output: Very high—excellent for solventless or hydrocarbon extractions



 Why Choose Zoey by Mainely Organics?


 Sweet blueberry-candy terps with creamy gas undertones


 Feminized seeds for stable phenotypes and consistent results


 Indica-leaning effects: euphoric, calming, and flavorful


 Small-batch genetics with signature Maine craftsmanship



 Available Now at Neptune Seed Bank
Order Zoey feminized seeds now at NeptuneSeedBank.com. Verified clones may be found through KingKongClones.com. For premium THCA flower, shop PackTrapper.com or buy wholesale from Trapgods.io. Explore mushroom-infused products at Mycological.co.

 Similar Strains from Neptune Seed Bank:


Blueberry hybrids


Zero Gravity crosses


Fruit-forward feminized strains



 About Mainely Organics
Mainely Organics is a Maine-based boutique breeder collective known for producing organically bred, terpene-rich hybrids that combine vibrant flavor, high resin output, and dependable structure. With Zoey, they’ve crafted a cultivar that captures Maine-grown flavor—sweet, frosty, and deeply relaxing.",Medium - High,60 - 65 days,Indical Leaning Hybrid,"calm, Euphoric, relaxed",Feminized,Easy,High,,
https://neptuneseedbank.com/product/zoda-BX1-strain/,Neptune Seed Bank,2026-01-08T03:17:21.598857,Umami Seeds - Zoda Bx1,Umami Seed Co,"Product description
Zoda Bx1 Strain Feminized Seeds by Umami Seeds
Zoda Bx1 strain by Umami Seeds is a terp-packed backcross that enhances and stabilizes the exotic candy-gas profile of the Zoda line. By pairing London Zoda with the original Zoda, Umami Seeds has locked in this cultivar’s vibrant flavor, resin-rich buds, and elite bag appeal. Offered in a 6-pack of feminized seeds, Zoda Bx1 is a must-have for flavor chasers and hashmakers alike.

Lineage
London Zoda x ZodaType: Feminized SeedsPack Size: 6 SeedsDominant Type: Hybrid (Balanced to Indica-Leaning)

Aroma, Flavor & Terpenes
Zoda Bx1 strain bursts with tropical candy, sweet citrus, creamy dessert notes, and a sharp gassy finish. The backcross intensifies the terpene expression, creating a profile that is both loud and complex—ideal for top-shelf flower and premium extractions.

⚡ Effects & Experience
Expect a happy, euphoric onset followed by a smooth, relaxing body effect. Great for afternoon-to-evening sessions, Zoda Bx1 delivers a balanced high that’s flavorful, long-lasting, and deeply enjoyable.

Growing Info
This cultivar produces dense, trichome-covered flowers with striking green and purple coloration. Finishes in 8-9 weeks with medium height and strong lateral branching. Heavy resin output makes Zoda Bx1 perfect for solventless hash or rosin production.

Why Choose Zoda Bx1 by Umami Seeds?


Loud candy-gas terpene profile with creamy dessert undertones


Feminized seeds for stable, consistent growth


Balanced hybrid effects with elite bag appeal


Backcrossed genetics for intensified flavor and resin



Available Now at Neptune Seed Bank
Order Zoda Bx1 feminized seeds now at NeptuneSeedBank.com. Verified clones may be available at KingKongClones.com. For THCA flower, shop PackTrapper.com or bulk-purchase from Trapgods.io. Explore functional mushroom products at Mycological.co.

Similar Strains from Neptune Seed Bank:


Zoda hybrids


London Zoda crosses


Candy gas feminized seeds



About Umami Seeds
Umami Seeds is known for producing flavor-driven cannabis genetics with standout terpene combinations and exceptional resin production. Zoda Bx1 is a prime example—an intensified version of a proven winner.",Medium - High,60 - 65 days,Indical Leaning Hybrid,"calm, Euphoric, relaxed",Feminized,Easy,High,,
https://neptuneseedbank.com/product/nasha-genetics-zoapranoz/,Neptune Seed Bank,2026-01-08T03:17:21.765931,Nasha Genetics - Zoapranoz,Nasha Genetics,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.
All Seeds are considered HEMP Seeds by law. Every seed tested contained less than 0.03% THC",,,,,,,,,
https://neptuneseedbank.com/product/raw-genetics-zoap-x-bcg/,Neptune Seed Bank,2026-01-08T03:17:21.980269,Raw Genetics - Ruby Red (F),Raw Genetics,Product description,,55 - 60 days,,,Feminized,,,,
https://neptuneseedbank.com/product/tiki-madman-zmurf-berriez/,Neptune Seed Bank,2026-01-08T03:17:22.156881,Tiki Madman - Zmurf Berriez,Tiki Madman,Product description,Medium - High,60 - 65 days,,,,,,,
https://neptuneseedbank.com/product/fast-buds-zkittlez-auto-f/,Neptune Seed Bank,2026-01-08T03:17:22.325253,Fast Buds- Zkittlez Auto (Feminized),Fast Buds,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.",,,,,,,,,
https://neptuneseedbank.com/product/nasha-genetics-zizu/,Neptune Seed Bank,2026-01-08T03:17:22.494303,Nasha Genetics - Zizu,Nasha Genetics,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.
All Seeds are considered HEMP Seeds by law. Every seed tested contained less than 0.03% THC",,,,,,,,,
https://neptuneseedbank.com/product/zesty-drip-strain/,Neptune Seed Bank,2026-01-08T03:17:22.673463,“42” - Zesty Drip (F),"""42""","Product description
Zesty Drip Strain (F) - Feminized Seeds by “42”

Zesty Drip Strain: Pure Citrus Fire from “42”
The Zesty Drip strain from breeder “42” combines two powerhouse flavor lines—Tangie and LA Zkittlez—into one vibrant, resin-heavy hybrid. This feminized release is available in both 3- and 6-seed packs. Even better, every order includes a free full pack of Sour Sage OG (Sage x Sour OG) as a bonus gift while supplies last!

Genetics: Tangie x LA Zkittlez
This fruity cross was bred for serious flavor and resin lovers.


Tangie brings bright tangerine terps, energetic highs, and strong sativa traits.


LA Zkittlez adds candy sweetness, smooth smoke, and extra bag appeal.


Together, they create the Zesty Drip strain, which offers bold citrus flavor, uplifting effects, and sticky, colorful buds.

Flavor & Aroma: Citrus Zest and Sweet Candy
From the first whiff, you’ll notice strong orange and tangerine notes. On the inhale, it’s zesty and sweet, with hints of lemon peel and candy. As you exhale, it leaves behind a clean, citrus finish with a smooth aftertaste. Thanks to its high terpene content, Zesty Drip Strain is ideal for flavorful extracts and rosin.

Effects: Energizing, Uplifting, and Smooth
Zesty Drip starts with a clear-headed, happy lift that boosts focus and creativity. While it energizes your mind, it also provides a light body buzz that keeps you relaxed—but not weighed down. Because of its balance, it’s a great daytime strain or a perfect pick-me-up for slow afternoons.

Medicinal Benefits: Great for Mood and Fatigue
This strain may help users manage stress, anxiety, and mental fatigue. Its upbeat nature also makes it useful for those dealing with low mood or social tension. Since it doesn’t cause heavy sedation, it’s a good option for people looking to stay active and focused throughout the day.

How to Grow Zesty Drip
These feminized seeds are easy to manage indoors or outside. Plants stay medium in height with strong branching and a thick layer of trichomes. Flowering time runs about 8-9 weeks, and the finished buds are sticky, colorful, and bursting with citrus aroma. With proper care, you can expect solid yields and excellent wash potential.

Why Choose Zesty Drip Seeds by 42?
The Zesty Drip strain brings together loud terps, balanced effects, and top-tier resin production. Whether you’re growing for flavor, extractions, or visual appeal, this cross checks every box. Plus, you get a full pack of Sour Sage OGabsolutely free with your order. Grab your 3- or 6-pack now, only at Neptune Seed Bank!

Follow Neptune Seed Bank for More Drops
Thanks for checking out the Zesty Drip strain by 42! To keep up with exclusive drops, freebies, and giveaways, be sure to follow us on:


Instagram


X (Twitter)


YouTube


TikTok


You can also join our Discord or subscribe to our newsletter for early access to the hottest genetics.

Similar Citrus and Candy Strains


Tangie x Tropicana Cookies


Zkittlez x OG Kush


Mimosa x Orange Zkittlez


Rainbow Belts by Archive Seed Bank",Medium - High,60 - 65 days,,,,,,,
https://neptuneseedbank.com/product/tiki-madman-zero-gravity-x-head-hunter/,Neptune Seed Bank,2026-01-08T03:17:22.911739,Tiki Madman - Zero Gravity x Head Hunter,Tiki Madman,Product description,Medium - High,60 - 65 days,,,,,,,
https://neptuneseedbank.com/product/zephyer-seeds-detroit-runtz-x-tropical-runtz/,Neptune Seed Bank,2026-01-08T03:17:23.113245,Zephyer Seeds - Detroit Runtz x Tropical Runtz,Zephyr Seeds,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.
All Seeds are considered HEMP Seeds by law. Every seed tested contained less than 0.03% THC",,,,,,,,,
https://neptuneseedbank.com/product/nasha-genetics-zealousy/,Neptune Seed Bank,2026-01-08T03:17:23.341244,Nasha Genetics - Zealousy,Nasha Genetics,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.
All Seeds are considered HEMP Seeds by law. Every seed tested contained less than 0.03% THC",,,,,,,,,
https://neptuneseedbank.com/product/nasha-genetics-zbelt/,Neptune Seed Bank,2026-01-08T03:17:23.515366,Nasha Genetics - Zbelt,Nasha Genetics,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.
All Seeds are considered HEMP Seeds by law. Every seed tested contained less than 0.03% THC",,,,,,,,,
https://neptuneseedbank.com/product/seattle-chronic-zaza-v/,Neptune Seed Bank,2026-01-08T03:17:23.717469,Seattle Chronic - Zaza V,Seattle Chronic,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.",,,,,,,,,
https://neptuneseedbank.com/product/equinox-seeds-zapphire/,Neptune Seed Bank,2026-01-08T03:17:23.931298,Equinox Seeds - Zapphire,Equinox Seeds,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.
All Seeds are considered HEMP Seeds by law. Every seed tested contained less than 0.03% THC",,,,,,,,,
https://neptuneseedbank.com/product/blue-star-seed-co-zangria-azul-f-presale/,Neptune Seed Bank,2026-01-08T03:17:24.103211,Blue Star Seed Co - ZANGRIA AZUL (F),Blue Star Seed Co,Product description,Medium - High,60 - 65 days,,,,,,,
https://neptuneseedbank.com/product/night-owl-seeds-zamango-f/,Neptune Seed Bank,2026-01-08T03:17:24.303367,Night Owl Seeds - Zamango (Feminized),Night Owl Seeds,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.
All Seeds are considered HEMP Seeds by law. Every seed tested contained less than 0.03% THC",,,,,,,,,
https://neptuneseedbank.com/product/dragons-flame-genetics-zamal-dreams-f/,Neptune Seed Bank,2026-01-08T03:17:24.488202,Dragons Flame Genetics - Zamal Dreams (Feminized),Dragons Flame Genetics,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.
All Seeds are considered HEMP Seeds by law. Every seed tested contained less than 0.03% THC",,,,,,,,,
https://neptuneseedbank.com/product/crane-city-cannabis-zainbow-mentz-f/,Neptune Seed Bank,2026-01-08T03:17:24.688085,Crane City Cannabis - Zainbow Mentz (F) w/Black Scotti freebie,Crane City Cannabis,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.",,,,,,,,,
https://neptuneseedbank.com/product/zagnut-strain/,Neptune Seed Bank,2026-01-08T03:17:24.873427,Uprising Seed Co. - Zagnut,Uprising Seed Co.,"Product description
Zagnut Strain Regular Seeds by Uprising Seed Co.
Zagnut strain by Uprising Seed Co. is a dessert-meets-gas powerhouse that blends the sweet, doughy terps of PCG Cookies with the sharp fuel and lemon-pine punch of Fire OG Bx3. Offered in a 10-pack of regular seeds, this cultivar is bred for big flavor, resin-rich buds, and heavy-hitting potency—perfect for connoisseurs and extract artists.

 Lineage
PCG Cookies x Fire OG Bx3Type: Regular SeedsPack Size: 10 SeedsDominant Type: Indica-Leaning Hybrid

 Aroma, Flavor & Terpenes
Zagnut strain combines fresh-baked cookie dough, vanilla cream, and sweet earth from PCG Cookies with OG gas, citrus zest, and earthy pine from Fire OG Bx3. The result is a loud, layered terp profile that’s dessert-forward with a powerful gassy backend.

⚡ Effects & Experience
Expect a fast-hitting head rush followed by deep physical relaxation. Zagnut is ideal for evening sessions, stress relief, and full-body calm. Its long-lasting effects and flavorful smoke make it a staple for heavy indica lovers.

 Growing Info
Zagnut strain produces dense, frost-covered flowers with medium height and strong branching. It finishes in 8-9 weeks, displaying deep green and purple hues. Exceptional resin content makes it a top choice for solventless hash production.

 Why Choose Zagnut by Uprising Seed Co.?


 Dessert cookie terps with OG gas punch


 High resin output for hashmakers and extractors


 Indica-leaning effects: potent, relaxing, and long-lasting


 Regular seeds for breeders and phenotype hunters



 Available Now at Neptune Seed Bank
Order Zagnut regular seeds now at NeptuneSeedBank.com. Clones may be available at KingKongClones.com. For THCA flower, shop PackTrapper.com or bulk-order from Trapgods.io. Explore mushroom microdose products at Mycological.co.

 Similar Strains from Neptune Seed Bank:


PCG Cookies hybrids


Fire OG crosses


Indica-heavy regular seeds



 About Uprising Seed Co.
Uprising Seed Co. creates potent, terpene-forward hybrids that combine modern flavor with old-school power. With Zagnut, they’ve crafted a strain that satisfies dessert terp lovers and gas chasers alike.",Medium - High,60 - 65 days,Indical Leaning Hybrid,"calm, Euphoric",Regular Seeds,Easy,High,,
https://neptuneseedbank.com/product/sin-city-seeds-z-lime-pie/,Neptune Seed Bank,2026-01-08T03:17:25.060806,Sin City Seeds - Z Lime Pie,Sin City Seeds,Product description,,,,,,,,,
https://neptuneseedbank.com/product/sin-city-seeds-z-lime-pie-half-packs/,Neptune Seed Bank,2026-01-08T03:17:25.262947,Sin City Seeds - Z Lime Pie (Half Packs),Sin City Seeds,Product description,,,,,,,,,
