seed_bank,source_url,extraction_methods_used,scraped_at,genetics,about_info,strain_name,seed_type,growth_type,terpene_profile,awards,page_title,breeder_name,data_completeness_score,quality_tier,thc_content,effects
Dutch Passion,https://dutch-passion.us/cannabis-seeds/auto-think-different,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:17.137383,in general. They often remained small and were less potent than photoperiod plants. The first autoflowering crosses were,"Based on special AK47 hybrid genetics known as AK420, Auto Think Different delivers monster yields of long and thick buds with very high THC content.",Auto Think Different,Autoflower,Autoflower,"400;"">Auto Think Different is an autoflower seed variety based on AK420 genetics with a nice fresh and fruity taste profile. The buds may not have the same penetrating odour as a pure Kush or pure Haze, but they smell very subtle and balanced. A nice fruity aroma with notes of citrus fruit, mint, pine and sweetness. Wonderful to smoke! These cannabis seeds produce autoflower plants with a high THC content and a strong high, even for the most experienced smokers.","cup-winners"">",Buy Auto Think Different Cannabis Seeds | Dutch Passion USA,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-think-big/prod_4010,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:17.444473,Sex: Feminized,Shop for the Think Big AutoFem by Dutch Passion at the Attitude - the world's largest online marijuana seed shop. Premium quality cannabis seeds for sale.,Prod_4010,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Think Big | Dutch Passion | Cannabis Seeds,Dutch Passion,59.8,Medium,,
Dutch Passion,https://dutch-passion.us/cannabis-seeds/the-ultimate,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:17.899491,used for The Ultimate guarantee the following properties:,The Ultimate,The Ultimate,Autoflower,Autoflower,"collapse; width: 100%; height: 516.3px;"">","cup-winners"">",Buy The Ultimate Cannabis Seeds | Dutch Passion USA,Dutch Passion,59.8,Medium,,
Dutch Passion,https://dutch-passion.us/cannabis-seeds/sugar-bomb-punch,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:18.332594,used to create Sugar Bomb Punch guarantee the following properties:,This explosive 3-way cross (THC Bomb X (Critical Orange Punch x Bubba Island Kush)) rewards you with heavy yields of THC rich buds with a sublime taste.,Sugar Bomb Punch,Feminized,Photoperiod,"block; margin-left: auto; margin-right: auto; width: 500px; height: 500px;"" width=""500""/>","cup-winners"">",Buy Sugar Bomb Punch Cannabis Seeds | Dutch Passion USA,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-strawberry-soda/prod_9797,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:18.671264,Strawberry Cough x Blue Auto Mazar,"Auto Strawberry Soda is a beautifully crafted, fast-finishing autoflower that offers a stunning appearance, exceptional flavour, and powerful effects. A true gem in any growerâ€™s garden, sheâ€™s perfect for anyone looking to enjoy top-shelf quality with every harvest.",Prod_9797,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds AUTO Strawberry Soda | Attitude Seedbank UK,Dutch Passion,72.4,High,15.00-18.00%,euphoric
Dutch Passion,https://dutch-passion.us/cannabis-seeds/auto-strawberry-soda,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:19.050020,.,"Auto Strawberry Soda is a powerful USA autoflower strain. This Strawberry Cough X Blue Auto Mazar cross has dense, purple-hued buds.",Auto Strawberry Soda,Autoflower,Autoflower,"flex-row border-b-2 border-gray-300 hidden"">","cup-winners"">",Buy Auto Strawberry Soda Cannabis Seeds | Dutch Passion USA,Dutch Passion,50.6,Medium,,
Dutch Passion,https://dutch-passion.us/cannabis-seeds/strawberry-cough,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:19.516972,have an almost mythical origin and a unique,Strawberry Cough,Strawberry Cough,Feminized,Photoperiod,"//dutch-passion.us/media/.renditions/wysiwyg/Strawberry-Cough-terpenes-and-cannabinoids-dutch-passion-cannabis-seed-company.jpg"" style=""display: block; margin-left: auto; margin-right: auto; width: 500px; height: 500px;"" width=""500""/>","cup-winners"">",Buy Strawberry Cough Cannabis Seeds | Dutch Passion USA,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-starryder/prod_1972,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:19.831069,Sex: Feminized,"Dutch Passion Seeds StarRyder is available to buy at the Attitude Seedbank. Discreet worldwide shipping, promotions, giveaways and extra free cannabis seeds souvenirs with every order. For more details visit our site.",Prod_1972,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds - StarRyder Auto | Best Quality Marijuana Seeds Souvenirs At Low Prices,Dutch Passion,66.7,High,15-19%,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-sour-fruit-tartare-f1/prod_10114,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:20.208741,(Fruit Tartare x Rosso Corsa F2) x Sour Tropicana Cookies BX1,"Buy a Pink Banana Runtz from Dutch Passion, and get the Limited edition freebie of Sour Fruit Tartare F1. ",Prod_10114,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds Sour Fruit Tartare F1 | Attitude Seedbank UK,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-skywalker-haze/prod_7278,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:20.494822,Skywalker Haze x Auto Amsterdam Amnesia,Attitude Seedbank stocks the best selection of top-quality marijuana seeds. Buy online AUTO Skywalker Haze Seeds by Dutch Passion Seeds.,Prod_7278,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds AUTO Skywalker Haze | Attitude Seedbank UK,Dutch Passion,72.4,High,20%,euphoric
Dutch Passion,https://dutch-passion.us/cannabis-seeds/auto-skywalker-haze,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:20.928937,with Auto Amsterdam Amnesia,"Alongside world-record THC levels of nearly 27%, this sativa dominant autoflower offers XXL yields with an epic fruity haze taste explosion and strong effects.",Auto Skywalker Haze,Autoflower,Autoflower,"400;"">","cup-winners"">",Buy Auto Skywalker Haze Cannabis Seeds | Dutch Passion USA,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-skunk-1/prod_3856,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:21.342825,Afghani x Mexican Acapulco Gold x Columbian Gold,The Attitude Seedbank has now in stock regular Skunk #1 by Dutch Passion at low prices. Place an order securely on our website and get extra free cannabis seeds souvenirs. Discreet worldwide shipping.,Prod_3856,Autoflower,Autoflower,Stash,"awards growers with extremely high yields. Since it's vulnerable to mould in its flowering stage, it is ideal to grow this variety indoors or greenhouses with a darkening system. Skunk #1 is a clear winner of several harvest festivals and in High Times Cannabis Cups.",Dutch Passion - Skunk #1 | Buy Top Quality Regular Marijuana Seeds,Dutch Passion,59.8,Medium,,
Dutch Passion,https://dutch-passion.us/cannabis-seeds/skunk-1,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:21.744967,are so powerful and strong that they produce Cannabis Cup-winning qualities even in the offspring.,"If you're looking for a very uniform Skunk with consistent XL yields, flavourful buds and a long-lasting potent high, Skunk #1 regular cannabis seeds are for you!",Skunk 1,Autoflower,Autoflower,"400; font-size: 14px; color: #000000;"">Skunk # 1 is a Sativa-dominant hybrid Skunk strain that has served as the starting point for many of today's cannabis varieties. This original and classic cannabis strain (75% Sativa, 25% Indica) is originally a cross of 25% Afghan, 25% Acapulco Gold and 50% Colombian Gold. Inbred from 1978 and now a stabilized homogeneous variety.","cup-winners"">",Buy Skunk #1 Cannabis Seeds | Dutch Passion USA,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-shaman/prod_395,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:22.079086,Purple #1 x Early Skunk,"The Attitude Seedbank has now in stock Shaman by Dutch Passion Seeds. Place an order with us for discreet, secure and fast worldwide shipping. We offer discounts, promotions and extra freebies with every purchase.",Prod_395,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds - Shaman | Best Quality And Value Marijuana Seeds Souvenirs At Low Prices,Dutch Passion,59.8,Medium,,
Dutch Passion,https://dutch-passion.us/cannabis-seeds/shaman,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:22.508108,she is also very suitable for the novice grower.,Shaman is an elegant outdoor strain with clear Sativa traits and a high resistance to bud rot and fungus. Enjoy her stimulating effects in just 8 weeks of bloom!,Shaman,Feminized,Photoperiod,"//dutch-passion.com/en/blog/terpenes-in-cannabis-n890"" rel=""noopener"" target=""_blank"" title=""Cannnabis terpenes guide"">","cup-winners"">",Buy Shaman Cannabis Seeds | Dutch Passion USA,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-sfv-og/prod_8446,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:22.823174,San Fernando Valley OG x Auto Glueberry OG,"Are you enchanted by the strong scent that wafts for miles? Look no further than Auto SFV OG, designed precisely for individuals like you!",Prod_8446,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds AUTO SFV OG | Attitude Seedbank UK,Dutch Passion,66.7,High,20.00%,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-red-tropicana-cookies/prod_9798,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:23.123600,Red Tropicana Cookies x Auto Night Queen,"Ideal for both daytime inspiration and evening relaxation, this strain is a must-try for cannabis enthusiasts seeking flavour, potency, and beauty in one. Donâ€™t miss your chance to experience Dutch Passionâ€™s Auto Red Tropicana Cookies!",Prod_9798,Autoflower,Autoflower,Stash,"award-winning Auto Night Queenâ€”Antonioâ€™s personal favouriteâ€”this hybrid embodies strength, speed, and flavour. The photoperiod Sativa lends vigorous growth and uplifting effects, while the Indica autoflower parent brings structural compactness and a shortened flowering cycle, making this strain a versatile and efficient performer in any grow setup.",Dutch Passion Seeds AUTO Red Tropicana Cookies | Attitude Seedbank UK,Dutch Passion,72.4,High,15.00-24.00%,"relaxing, energetic, creative, uplifting, cerebral"
Dutch Passion,https://dutch-passion.us/cannabis-seeds/auto-red-tropicana-cookies,"['description', 'patterns', 'fallback']",2026-01-10T22:24:23.503450,,"Auto Red Tropicana Cookies is a compact hybrid autoflower with vibrant purple hues, rich terpenes, and standout bag appeal.",Auto Red Tropicana Cookies,Autoflower,Autoflower,"//dutch-passion.us/static/version1767170395/frontend/DutchPassion/Hyva_Dutch/en_US/css/styles.css"" media=""all"" rel=""stylesheet"" type=""text/css""/>","cup-winners"">",Buy Auto Red Tropicana Cookies Cannabis Seeds | Dutch Passion USA,Dutch Passion,50.6,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-purple-1/prod_393,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:23.803925,Sex: Regular & Feminized,Dutch Passion Seeds Purple #1 is now available to buy at the Attitude Seedbank at low prices. Visit our website to check out the whole range of the range of best cannabis seeds available in the UK. We ship worldwide.,Prod_393,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds - Purple #1 | Top Quality Medical Cannabis Seeds Souvenirs At Low Prices UK,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-power-plant/prod_7032,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:24.080115,Sex: Feminized,Experience the very best in quality marijuana strains from Dutch Passion Seeds. Buy online Auto Power Plant Cannabis Seeds at the Attitude Seedbank UK.,Prod_7032,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds AUTO Power Plant | Cannabis Seeds,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-power-plant/prod_392,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:24.363091,Sex: Regular & Feminized,"The Attitude Seedbank has now in stock Power Plant by Dutch Passion Seeds at low prices. Place an order securely online or over the phone for discounts, promotions and extra freebies. We offer discreet, secure and fast worldwide shipping.",Prod_392,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds - Power Plant | Top Quality Medical Marijuana Seeds Souvenirs At Low Prices,Dutch Passion,65.5,High,,uplifting
Dutch Passion,https://dutch-passion.us/cannabis-seeds/power-plant,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:24.819823,of this strain originate from South Africa and are very stable,Our original South African Power Plant has never been hybridized and is exclusively available at Dutch Passion in the form of photoperiod or regular seeds.,Power Plant,Feminized,Photoperiod,"block; margin-left: auto; margin-right: auto; width: 500px; height: 500px;"" width=""500""/>","cup-winners"">",Buy Power Plant Cannabis Seeds | Dutch Passion USA,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-pink-banana-runtz/prod_10076,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:25.140367,Banana Z x Gelato #33,"Pink Banana Runtz is an Indica-dominant hybrid from Antonio by Dutch Passion, created by crossing Banana Z and Gelato #33. This limited-edition strain offers large, resinous buds, sweet, creamy terpenes, XL yields, and a powerful, long-lasting euphoric high.",Prod_10076,Autoflower,Autoflower,"//www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-pink-banana-runtz/prod_10076"" rel=""canonical""/>","cupWinnerTrump"">",Dutch Passion Seeds Pink Banana Runtz | Premium Cannabis Genetics,Dutch Passion,72.4,High,20-25%,"euphoric, relaxing"
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-passion-1/prod_389,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:25.441301,Amstel Gold,"Dutch Passion Seeds Passion #1 is available to buy at the Attitude Seedbank at low prices. Place an order securely online or over the phone. We offer discounts, promotions and extra freebies.",Prod_389,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds - Passion #1 | Buy Securely Online Best Quality Medical Cannabis Seeds,Dutch Passion,66.7,High,20%,
Dutch Passion,https://dutch-passion.us/cannabis-seeds/passion-1,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:25.856204,used to breed Passion #1 guarantee the following traits:,"Passion #1 is a vigorous, fast-flowering outdoor cannabis strain with epic yields, very high THC levels and a fresh tart aroma of lemon, lime and spicy notes.",Passion 1,Autoflower,Autoflower,"400;"">Passion #1 is one of the most potent cannabis strain of our Dutch Outdoor collection with THC levels climbing up between 15% and 20% on average.","cup-winners"">",Buy Passion #1 Cannabis Seeds | Dutch Passion USA,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-orange-hill-special/prod_2742,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:26.188689,Orange Bud x Californian Orange,"Dutch Passion Seeds Orange Hill Special is available to buy securely online at The Attitude Seedbank website or over the phone. Shop with us for discounts, promotions and extra freebies. We offer discreet, secure and fast worldwide shipping.",Prod_2742,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds - Orange Hill Special | Purchase Premium Quality Cannabis Seeds Souvenirs At Low Prices UK,Dutch Passion,72.4,High,21.00%,body
Dutch Passion,https://dutch-passion.us/cannabis-seeds/orange-hill-special,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:26.579570,from our beloved Orange Bud and California Orange. This cross has been further stabilized for 6 generations to achieve a completely new and stable Orange variety. This variety is 50% indica,Our Orange Hill Special cannabis seed variety was bred over 6 generations to offer Skunk enthusiasts with an easy-to-grow THC bomb with an explosive taste!,Orange Hill Special,Feminized,Photoperiod,"block; margin-left: auto; margin-right: auto; width: 500px; height: 500px;"" width=""500""/>","cup-winners"">",Buy Orange Hill Special Cannabis Seeds | Dutch Passion USA,Dutch Passion,59.8,Medium,,
Dutch Passion,https://dutch-passion.us/cannabis-seeds/auto-orange-bud,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:27.117210,used for Auto Orange Bud guarantees the following properties:,"Bred over 12 generations, this stable sativa autoflower offers just as great harvests as our photoperiod Orange Bud in terms of bag appeal, potency and flavor.",Auto Orange Bud,Autoflower,Autoflower,"400; font-size: 14px; color: #000000;"">The Dutch Passion master breeder responsible for our best autoflowers such as Auto Mazar, Auto Ultimate and Auto Daiquiri Lime, went the extra mile to create Auto Orange Bud. First, a selected male autoflower specimen of Auto Daiquiri Lime was crossed with our photoperiod Orange Bud.","cup-winners"">",Buy Auto Orange Bud Cannabis Seeds | Dutch Passion USA,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-orange-bud/prod_386,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:27.435829,Classic Skunk,"The Attitude Seedbank offers discreet, fast and secure worldwide shipping of Orange Bud by Dutch Passion Seeds. Shop with us for best quality and lowest prices. We offer discounts, promotions and extra freebies.",Prod_386,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds - Orange Bud | Medical Marijuana Seeds Souvenirs At Low Prices UK,Dutch Passion,66.7,High,15-20%,
Dutch Passion,https://dutch-passion.us/cannabis-seeds/orange-bud,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:27.900231,used to create Orange Bud ensure the following characteristics :,"Discovered in the early 80â€™s, Orange Bud is one of the very few remaining original Skunk genetics available on earth. A must-have for any fan of orange cannabis strains.",Orange Bud,Autoflower,Autoflower,"400;"">Orange Bud is a plant that produces premium quality buds. Even new growers will find Orange Bud seeds easy and pleasurable to grow. She produces generous levels of dense, hard buds covered in crystals and beautiful orange hairs. Many repeat growers of Orange Bud cannabis seeds claim the main reason they love her so much is due to the uniquely sweet, citrus skunky terpene profile. The rich scent is appealing and attention grabbing, making you want to squeeze the oily buds and enjoy the penetrating and gloriously enjoyable aroma. These are some of the most powerful, feel-good buds you will have ever enjoyed smoking/vaping. The great scent of juicy, freshly picked nectarines is one you will never forget.","cup-winners"">",Buy Orange Bud Cannabis Seeds | Dutch Passion USA,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-oh-my-gusher/prod_8445,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:28.220237,(Gusher: Triangle Kush x Gelato) x Auto Brooklyn Sunrise,"Whether you are a novice or a seasoned grower in search of an autoflower strain to impress your companions, Auto Oh My Gusher should undoubtedly find its place in your grow room!",Prod_8445,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds AUTO Oh My Gusher | Attitude Seedbank UK,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-night-queen/prod_4009,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:28.506887,Night Queen x Automatic Mazar,"Dutch Passion Seeds AutoNight Queen feminized marijuana seeds are now in stock at The Attitude Seedbank - best online store with widest collection of medical cannabis seeds souvenirs. Place an order securely online or over the phone. Shop with us for discounts, promotions and extra freebies.",Prod_4009,Autoflower,Autoflower,Stash,"award winning Indica Night Queen. She was created from highly resinous and their strongest indicas ever variety - Dutch Passion Afghani Night Queen. She won 1st Prize at the 2015 Champions Cup in Malaga. To obtain AutoNight Queen, Dutch Passion crossed a specially selected clone from the original photoperiod Night Queen and crossed her with a dark Automatic Mazar hybrid from their gene bank. AutoNight Queen inherited premium strength sticky kush harvests which are well above average in quality and quantity. Rich hash scents of this Afghan Kush can be discovered. This potent autofem strain will cause an unusually heavy and long-lasting effect which is popular with medical and recreational users. Smooth and sweet tasting variety with a maximum potency.",AutoNight Queen - Dutch Passion Seeds Z,Dutch Passion,66.7,High,15%,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-mokums-tulip/prod_7798,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:28.805547,Mokum's Tulip x Auto Colorado Cookies,Here's one of the treasures from the Dutch Passion. AUTO Mokum's Tulip is now in stock. Buy it online at Attitude Seedbank UK.,Prod_7798,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds AUTO Mokum's Tulip | Attitude Seedbank UK,Dutch Passion,72.4,High,15-20%,"euphoric, relaxing, calming"
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-mimosa-punch/prod_7706,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:29.154260,Mimosa (Clementine X Purple Punch) X Auto Purple Punch,"Dutch Passion Seeds Auto Mimosa Punch cannabis seeds are available to buy at The Attitude Seedbank. Worldwide shipping, discreet shipping, freebies and promotions.",Prod_7706,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds | Dutch Passion Seeds Auto Mimosa Punch Cannabis Seeds,Dutch Passion,59.8,Medium,,
Dutch Passion,https://dutch-passion.us/cannabis-seeds/auto-mimosa-punch,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:29.556628,of the famous 'Mimosa',Sip on the sweet success of super terpy harvests combined with a gorgeous bag appeal and very high THC levels with our Mimosa X Auto Purple Punch cross.,Auto Mimosa Punch,Autoflower,Autoflower,"400;"">","cup-winners"">",Buy Auto Mimosa Punch Cannabis Seeds | Dutch Passion USA,Dutch Passion,59.8,Medium,,
